ACC_STATION_CODE,DATE_TYPE,TIME_ATTRIBUTE,BEGIN_TIME,END_TIME,VERSION_ID
9625,3,5,1080,1440,499                 
9625,4,1,240,420,499                 
9625,4,2,420,540,499                 
9625,4,3,540,1020,499                 
9625,4,4,1020,1140,499                 
9625,4,5,1140,1440,499                 
9625,5,1,240,480,499                 
9625,5,2,480,600,499                 
9625,5,3,600,960,499                 
9625,5,4,960,1080,499                 
9625,5,5,1080,1440,499                 
9625,6,1,240,420,499                 
9625,6,2,420,540,499                 
9625,6,3,540,960,499                 
9625,6,4,960,1200,499                 
9625,6,5,1200,1440,499                 
9625,7,1,240,480,499                 
9625,7,2,480,600,499                 
9625,7,3,600,960,499                 
9625,7,4,960,1080,499                 
9625,7,5,1080,1440,499                 
9625,8,1,240,420,499                 
9625,8,2,420,540,499                 
9625,8,3,540,1020,499                 
9625,8,4,1020,1140,499                 
9625,8,5,1140,1440,499                 
9625,9,1,240,480,499                 
9625,9,2,480,600,499                 
9625,9,3,600,960,499                 
9625,9,4,960,1080,499                 
9625,9,5,1080,1440,499                 
9625,10,1,240,420,499                 
9625,10,2,420,540,499                 
9625,10,3,540,960,499                 
9625,10,4,960,1200,499                 
9625,10,5,1200,1440,499                 
9625,11,1,240,480,499                 
9625,11,2,480,600,499                 
9625,11,3,600,960,499                 
9625,11,4,960,1080,499                 
9625,11,5,1080,1440,499                 
9625,12,1,240,420,499                 
9625,12,2,420,540,499                 
9625,12,3,540,1020,499                 
9625,12,4,1020,1140,499                 
9625,12,5,1140,1440,499                 
9625,13,1,240,480,499                 
9625,13,2,480,600,499                 
9625,13,3,600,960,499                 
9625,13,4,960,1080,499                 
9625,13,5,1080,1440,499                 
9625,14,1,240,420,499                 
9625,14,2,420,540,499                 
9625,14,3,540,960,499                 
9625,14,4,960,1200,499                 
9625,14,5,1200,1440,499                 
9625,15,1,240,480,499                 
9625,15,2,480,600,499                 
9625,15,3,600,960,499                 
9625,15,4,960,1080,499                 
9625,15,5,1080,1440,499                 
9627,0,1,240,420,499                 
9627,0,2,420,540,499                 
9627,0,3,540,1020,499                 
9627,0,4,1020,1140,499                 
9627,0,5,1140,1440,499                 
9627,1,1,240,480,499                 
9627,1,2,480,600,499                 
9627,1,3,600,960,499                 
9627,1,4,960,1080,499                 
9627,1,5,1080,1440,499                 
9627,2,1,240,420,499                 
9627,2,2,420,540,499                 
9627,2,3,540,960,499                 
9627,2,4,960,1200,499                 
9627,2,5,1200,1440,499                 
9627,3,1,240,480,499                 
9627,3,2,480,600,499                 
9627,3,3,600,960,499                 
9627,3,4,960,1080,499                 
9627,3,5,1080,1440,499                 
9627,4,1,240,420,499                 
9627,4,2,420,540,499                 
9627,4,3,540,1020,499                 
9627,4,4,1020,1140,499                 
9627,4,5,1140,1440,499                 
9627,5,1,240,480,499                 
9627,5,2,480,600,499                 
9627,5,3,600,960,499                 
9627,5,4,960,1080,499                 
9627,5,5,1080,1440,499                 
9627,6,1,240,420,499                 
9627,6,2,420,540,499                 
9627,6,3,540,960,499                 
9627,6,4,960,1200,499                 
9627,6,5,1200,1440,499                 
9627,7,1,240,480,499                 
9627,7,2,480,600,499                 
9627,7,3,600,960,499                 
9627,7,4,960,1080,499                 
9627,7,5,1080,1440,499                 
9627,8,1,240,420,499                 
9627,8,2,420,540,499                 
9627,8,3,540,1020,499                 
9627,8,4,1020,1140,499                 
9627,8,5,1140,1440,499                 
9627,9,1,240,480,499                 
9627,9,2,480,600,499                 
9627,9,3,600,960,499                 
9627,9,4,960,1080,499                 
9627,9,5,1080,1440,499                 
9627,10,1,240,420,499                 
9627,10,2,420,540,499                 
9627,10,3,540,960,499                 
9627,10,4,960,1200,499                 
9627,10,5,1200,1440,499                 
9627,11,1,240,480,499                 
9627,11,2,480,600,499                 
9627,11,3,600,960,499                 
9627,11,4,960,1080,499                 
9627,11,5,1080,1440,499                 
9627,12,1,240,420,499                 
9627,12,2,420,540,499                 
9627,12,3,540,1020,499                 
9627,12,4,1020,1140,499                 
9627,12,5,1140,1440,499                 
9627,13,1,240,480,499                 
9627,13,2,480,600,499                 
9627,13,3,600,960,499                 
9627,13,4,960,1080,499                 
9627,13,5,1080,1440,499                 
9627,14,1,240,420,499                 
9627,14,2,420,540,499                 
9627,14,3,540,960,499                 
9627,14,4,960,1200,499                 
9627,14,5,1200,1440,499                 
9627,15,1,240,480,499                 
9627,15,2,480,600,499                 
9627,15,3,600,960,499                 
9627,15,4,960,1080,499                 
9627,15,5,1080,1440,499                 
9629,0,1,240,420,499                 
9629,0,2,420,540,499                 
661,3,4,960,1080,499                 
661,3,5,1080,1440,499                 
661,4,1,240,420,499                 
661,4,2,420,540,499                 
661,4,3,540,1020,499                 
661,4,4,1020,1140,499                 
661,4,5,1140,1440,499                 
661,5,1,240,480,499                 
661,5,2,480,600,499                 
661,5,3,600,960,499                 
661,5,4,960,1080,499                 
661,5,5,1080,1440,499                 
661,6,1,240,420,499                 
661,6,2,420,540,499                 
661,6,3,540,960,499                 
661,6,4,960,1200,499                 
661,6,5,1200,1440,499                 
661,7,1,240,480,499                 
661,7,2,480,600,499                 
